Booth Number,Booth,Roles that can staff area?,Booth Description,Tue_1200_200,Tue_1200_230,Tue_200_400,Tue_230_530,Tue_400_600,Tue_530_800,Tue_600_800,Wed_1000_1100,Wed_1000_1230 ,Wed_1100_100,Wed_1200_300,Wed_100_300,Wed_300_500,Wed_300_530,Thu_900_11,Thu_900_1130,Thu_1100_100,Thu_1130_230,Thu_100_300,Thu_230_500,Thu_300_500,Fri_900_1000,Fri_900_1100,Fri_1000_1200,Fri_1100_100,Fri_1200_200,Fri_100_200,TOTAL
34,HR & Employee Engagement ,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud SE Specialists or HR/Employee Engagement Blackbelts ONLY. This demo station will focus on the updated Agent Console and how it enables HR to be more productive and deliver fast, accurate answers for employees.  Staffers should be prepared to answer questions about and demo ALL of the Service Cloud features.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
35,Analytics for Service ,Sales Engineer,STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on Analytics for Service and the new Service Wave.  Staffers should be prepared to answer questions about and demo ALL of the Service Cloud features.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
36,Service on Salesforce,Sales Engineer,STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on the move from Desk.com to Service Cloud.  Staffers should be prepared to differentiate between Desk and Service and helping customers to identify which is the right fit for their business.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
37,Service for Apps,Sales Engineer,STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on SOS and the new embedded Knowledge features available for mobile apps.  Staffers should also be prepared to answer questions about and demo ALL of the Service Cloud features.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
38,SOS for Apps ,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on the SOS GA product and how it enables agents to be more productive and deliver fast, accurate answers.  Staffers should be prepared to answer questions about and demo ALL of the Service Cloud features.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
39,Live Agent Chat,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on Live Agent and how it enables agents to deliver fast, and accurate answers.  Staffers should be prepared to answer questions about and demo ALL of the Service Cloud features.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
40,Social Customer Service,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud or Marketing Cloud SE Specialists ONLY. This demo station will focus on Service Cloud and Social Hub work together to deliver fast, personalized customer service.  Staffers should also be prepared to answer questions about and demo ALL of the Service Cloud features.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
41,Self-Servce Communities ,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on easily creating Service Communities, how they help customers find the right information and deflect calls away from the contact center.  Staffers should be prepared to answer questions about and demo ALL of the Service Cloud features.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
42,CEC Agents,Technical Support,"STAFFING REQUIREMENT: Members of the Salesforce Customer Service team ONLY. Customer Support Agent resolving real Dreamforce attendee questions/issues from ALL channels (Phone, Email, Twitter, Live Chat, and the new SOS feature). Attendees love to see how real agents use the Service Cloud to answer customer service inquiries!",5,0,5,0,5,0,5,5,0,5,0,5,5,0,5,0,5,0,5,0,5,5,0,5,0,5,0,75
43,CEC Attendee Engagement Docent,Technical Support/ SE/CSG (Service Cloud SE or CSG Service Cloud Architect ONLY),"STAFFING REQUIREMENT:  Members of the Salesforce Customer Service, Service Cloud SE Specialists, or Service Cloud Solution Architect teams ONLY.  Service Cloud experts will stand next to Support Agents in the Live Customer Engagement Center resolving real Dreamforce attendee questions/issues.  You will engage with attendees to help them understand what actions Agents are taking to close cases. This allows the agent to focus on closing cases, and YOU to be the expert to answer attendee questions!",5,0,5,0,5,0,5,5,0,5,0,5,5,0,5,0,5,0,5,0,5,5,0,5,0,4,0,74
44,Service Cloud Floater ,SR/BDR;Account Executive/Co-Prime,"Engage attendees, scan badges, give out swag, direct attendees to see a demo or check out the live customer engagement center around the space",2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,1,0,29
45,Jawbone Service for Apps Demo Presentation,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY or PMM. This is a ""theater style demo"" showcasing Connected Devices, Service for Apps, and SOS.  One person will play the role of the agent, while the other will play the role of the customer.  When complete the demo, you will take audience questions.  Staff this booth if you Love presenting and getting folks excited about Service Cloud!!",2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
46,Journey Builder ,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Journey Builder demo station highlighting current functionality of Journey Builder, Journey Maps and Interaction Canvas. ",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
47,"Connect Marketing, Sales & Service ",Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only  Journey Builder demo station highlighting current functionality of Journey Builder, Journey Maps and Interaction Canvas. Highlight features that show integration between Sales & Service Cloud",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
48,B2B Marketing Automation ,Sales Engineer,STAFFING REQUIREMENT: Pardot expert only. Pardot demo discussing primary use case of B2B Marketing Automation. ,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
49,Email Content Tools ,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Email demo focused on Email Marketing technology, specifically Content Canvas functionality ",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
50,Personalized & Predictive Email ,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Email demo focused on Predictive Intelligence in Email product. The ability to add reference items, predictive items and more into email, while highlight profiles. ",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
51,Predictive Intelligence,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Predictive Intelligence on Web & Email, focus on Data & Analytics functionality. ",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
52,Mobile Messaging,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Mobile messaging through MobileConnect (SMS), MobilePush (app push messages), and GroupConnect (Mobile Group Messaging)",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
53,Email & Mobile Strategy ,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Email & Mobile demo, highlighting the use case of coupling Email and Mobile to make a comprehensive strategy ",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
54,Social Listening & Analytics ,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Social Studio demo showing how to listen and analyze on Facebook, Twitter, Instagram, etc.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
55,Social Publishing & Engagement ,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Social Studio demo showing how to publish and engage on Facebook, Twitter, Instagram, etc.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
56,Social Advertising,Sales Engineer,STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Social.com product demo showing how to best use digital advertising budget,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
57,Audience Segmentation ,Sales Engineer,STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Active Audiences demo showing how to create audiences on social and targeting them with relevant digital ads ,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
58,Create 1-to-1 Customer Journeys,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Marketing Cloud SE or product expert only. Journey Builder demo station highlighting current functionality of Journey Builder, Journey Maps and Interaction Canvas. ",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
59,Create 1-to-1 Customer Journeys,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Marketing Cloud SE or product expert only. Journey Builder demo station highlighting current functionality of Journey Builder, Journey Maps and Interaction Canvas. ",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
60,Community Templates & Builder,Sales Engineer,SE will show customers how they can customize and brand our community templates without using any code. SE should have good understanding of Lightning Components as well as good general understanding of Communities.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
61,Community Templates & Builder,Sales Engineer,SE will show customers how they can customize and brand our community templates without using any code. SE should have good understanding of Lightning Components as well as good general understanding of Communities.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
62,Employee Community & Chatter,Sales Engineer,"HR Blackbelt preferred, but should also have good understanding of general Community and Chatter features.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
63,Salesforce Files & Files Connect,Sales Engineer,"SE will show customers Salesforce Files and Content, including Files Sync and Files Connect. SE should have a good understanding of Microsoft SharePoint.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
64,Customer Community,Sales Engineer,SE will show customers how companies can use Customer Communities to drive customer engagement and Self-Service. SE should have good understanding of general communities features as well as Service Cloud Console.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
65,Customer Community,Sales Engineer,SE will show customers how companies can use Customer Communities to drive customer engagement and Self-Service. SE should have good understanding of general communities features as well as Service Cloud Console.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
66,Partner Community,Sales Engineer,SE will show customers how companies can use Partner Communities to enable partners through the entire partner lifecycle. SE should have good understanding of traditional PRM as well us alternative uses for Partner Communities.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
67,Partner Community,Sales Engineer,SE will show customers how companies can use Partner Communities to enable partners through the entire partner lifecycle. SE should have good understanding of traditional PRM as well us alternative uses for Partner Communities.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
68,Theater,Sales Engineer,,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
69,Improve Customer Experiences,Sales Engineer,"Analytics Cloud Black Belt Training required.  This booth is for Wave SEs, Wave Black Belt-certified  SEs.
Walk attendees through our service use cases on computer and mobile phone. Answer questions, be familiar with all value props. Demonstrate fluency in Analytics Cloud differentiation.  ",2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
70,Know Customers Better,Sales Engineer,"Analytics Cloud Black Belt Training required. This booth is for Wave SEs, Wave Black Belt-certified  SEs
Walk attendees through our service use cases on computer and mobile phone. Answer questions, be familiar with all value props. Demonstrate fluency in Analytics Cloud differentiation.  ",2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
71,Anticipate Trends with Interactive Charts,Sales Engineer,"Analytics Cloud or Sales Cloud Black Belt Training required.  This booth is for ave SEs, Wave Black Belt-certified  SEs, Sales Cloud Black Belt-certified  SEs
Walk attendees through our sales use cases on computer and mobile phone. Answer questions, be familiar with all value props. Answer basic messaging FAQs, and demonstrate fluency in Analytics Cloud differentiation.  ",2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
72,Coach the Best Sales Team,Sales Engineer,"Analytics Cloud or Sales Cloud Black Belt Training required.  This booth is for ave SEs, Wave Black Belt-certified  SEs, Sales Cloud Black Belt-certified  SEs
Walk attendees through our sales use cases on computer and mobile phone. Answer questions, be familiar with all value props. Answer basic messaging FAQs, and demonstrate fluency in Analytics Cloud differentiation.  ",2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
73,Explore Any Data,Sales Engineer,"Analytics Cloud Black Belt Training required.  This booth is for Wave SEs, Wave Black Belt-certified  SEs
Walk attendees through our Wave platform on computer and mobile phone. Answer questions, be very familiar with all value props and with the Analytics space in general.",4,0,4,0,4,0,4,4,0,4,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0,60
74,Hit Your Target with Dynamic Dashboards,Sales Engineer,"Analytics Cloud or Sales Cloud Black Belt Training required. This booth is for ave SEs, Wave Black Belt-certified  SEs, Sales Cloud Black Belt-certified  SEs
Walk attendees through our sales use cases on computer and mobile phone. Answer questions, be familiar with all value props. Answer basic messaging FAQs, and demonstrate fluency in Analytics Cloud differentiation.  ",4,0,4,0,4,0,4,4,0,4,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0,60
75,Encryption,Sales Engineer,"You must be a Sales Engineer/Platform SE 
Easy 2 minute product overview demonstration of Platform Encryption by quickly encrypting any field in Salesforce. ",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
76,Security & Compliance ,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Demo Event Monitoring and Field Audit Trail with the use of prebuilt wave dashboards, no admin or coding required",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
77,Lightning Connect,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
This is a more technical demo, must be comfortable speaking about integration methodologies and setting up an OData end-point with Jitterbit",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
78,Identity Services ,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
You use identity every day - you will easily be able to demo our Single Sign-on and 2 factor authentication. Booth include apple watch for quick access to your security code!",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
79,AppExchange Apps,Partner Team,Canonical Appexchange demo with 3-4 apps installed telling a cohesive and compelling story for companies to transform their business,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
80,AppExchange Expert,Partner Team,Be able to prescribe an appropriate app to a customer based off of their business requirements,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
81,Trailhead ,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Pitch the value of Trailhead! Trailhead is the fun and free way for anyone to learn Salesforce. Earn points and badges through interactive, hands-on developer and admin training courses.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
82,Agile Accelerator,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Demonstrate on customers can take even more advantage in their investment in salesforce by using this app to manage agile application development. Strong understanding of agile methologies, sprints, backlogs and Kanbans",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
83,Lightning Desktop ,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Demonstrate the new Lightning Desktop exerience by adding custom components to standard objects. ",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
84,Lightning Design System,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Introduce the concept of the Lightning Design System, which are best practices and principles for building apps on the Salesforce Platform. Fun and easy custom tic-tac-toe game with the new Salesforce Design styling applied.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
85,Lightning App Builder,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Build mobile apps for any department with Lightning Components in the Lightning App Builder",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
86,Lightning Process Builder,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Demonstrate the power of Process Builder - Share tips and tricks to automate any business process on the Salesforce Platform",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
87,Heroku Enterprise,Sales Engineer; Heroku,"You must be a Sales Engineer - Platform SE, or Heroku to staff this booth
Complete Heroku Overview: Scalability, Elements, Connect, Engagement, Team Management and VPC",2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
88,Heroku Customer Apps Showcase,Sales Engineer; Heroku,"You must be a Sales Engineer - Platform SE, or Heroku to staff this booth
Showcase a wide varity of customer facing apps built on Heroku that establish brand credibility. ",2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
89,Heroku Connect,Sales Engineer; Heroku,"You must be a Sales Engineer - Platform SE, or Heroku to staff this booth.
Demonstrate the ease of configuring and integrating data from customer facing applications to force.com. Show off the power of two robust platforms working together for richer customer profiles",2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
90,Mobile SDK,Sales Engineer,"You must be a Sales Engineer or Platform SE to staff this booth
For those customer that have mobile requirements not met with either Salesforce1 Mobile or Heroku, introduce our mobile software development kit for custom offline mobile applications built on force.com",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
91,Lightning App Theater,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Guide attendees through dragging and dropping to build their first mobile app on a 90"" multiouch interative wall. Bring to life how fun and easy it is to build apps.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
92,IoT Cloud Theater,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
You will be the PRESENTER for this mini theater presentation to introduce our latest cloud offering. A product marketer with be there help guide the presentation or answer any questions",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
